mem,bandwidth(MB/ms)
95354880,10.21
95420416,10.22
95485952,10.23
95551488,10.24
95617024,10.22
95682560,10.24
95748096,10.25
95813632,10.25
95879168,10.24
95944704,9.82
96010240,10.26
96075776,10.25
96141312,10.24
96206848,10.16
96272384,9.69
96337920,10.04
96403456,9.68
96468992,9.94
96534528,9.66
96600064,10.15
96665600,10.0
96731136,10.18
96796672,9.55
96862208,9.79
96927744,10.09
96993280,10.01
97058816,10.17
97124352,10.15
97189888,10.19
97255424,10.22
97320960,10.2
97386496,9.72
97452032,10.22
97517568,10.18
97583104,10.2
97648640,9.62
97714176,10.12
97779712,10.03
97845248,10.04
97910784,10.09
97976320,9.94
98041856,9.98
98107392,9.61
98172928,9.99
98238464,10.22
98304000,10.15
98369536,10.2
98435072,10.04
98500608,10.04
98566144,9.97
98631680,10.13
98697216,10.13
98762752,10.17
98828288,10.21
98893824,10.02
98959360,9.73
99024896,10.05
99090432,9.66
99155968,10.11
99221504,10.19
99287040,10.23
99352576,10.22
99418112,10.24
99483648,10.17
99549184,10.21
99614720,10.17
99680256,10.22
99745792,10.23
99811328,10.24
99876864,10.25
99942400,9.78
100007936,10.24
100073472,10.25
100139008,10.24
100204544,10.25
100270080,10.24
100335616,10.23
100401152,10.23
100466688,9.56
100532224,9.64
100597760,9.96
100663296,10.12
100728832,9.39
100794368,9.97
100859904,10.07
100925440,10.2
100990976,9.76
101056512,10.22
101122048,10.21
101187584,10.22
101253120,10.14
101318656,10.21
101384192,10.22
101449728,10.2
101515264,10.18
101580800,10.2
101646336,10.2
101711872,10.2
101777408,10.19
101842944,10.2
101908480,10.22
101974016,10.21
102039552,10.22
102105088,10.23
102170624,10.24
102236160,10.22
102301696,10.21
102367232,9.96
102432768,10.01
102498304,10.1
102563840,9.96
102629376,10.16
102694912,10.2
102760448,10.2
102825984,10.17
102891520,9.94
102957056,10.09
103022592,9.94
103088128,9.61
103153664,10.11
103219200,10.13
103284736,10.1
103350272,10.15
103415808,10.2
103481344,10.22
103546880,10.21
103612416,10.18
103677952,9.99
103743488,10.12
103809024,9.9
103874560,9.53
103940096,9.71
104005632,10.14
104071168,10.14
104136704,8.68
104202240,9.96
104267776,10.11
104333312,10.01
104398848,10.04
104464384,10.11
104529920,10.09
104595456,10.2
104660992,9.82
104726528,10.21
104792064,10.21
104857600,10.2
104923136,10.19
104988672,10.2
105054208,10.21
105119744,10.21
105185280,10.2
105250816,10.22
105316352,10.21
105381888,10.22
105447424,9.99
105512960,10.12
